script,collected,source,omniglot
Abaza,Anna Sorokina,"Hewitt, G. (2004). Introduction to the Study of the Languages of the Caucasus. München: Lincom.",https://www.omniglot.com/writing/abaza.htm
Abkhaz,Anna Sorokina,"Hewitt, G. (2004). Introduction to the Study of the Languages of the Caucasus. München: Lincom.",https://www.omniglot.com/writing/abkhaz.htm
Adyghe,Anna Sorokina,"Hewitt, G. (2005). North West Caucasian. Lingua, 115(1–2), 91–145.",https://www.omniglot.com/writing/adyghe.htm
Kabardian,Anna Sorokina,"Matasović, R. (2010). A short grammar of East Circassian (Kabardian).",https://www.omniglot.com/writing/kabardian.htm
Aghul,Anna Sorokina,"Магометов, А. А. (1967). Агульский язык. Языки народов СССР, Т.4: Кавказские языки. Москва, 562-579.",https://www.omniglot.com/writing/aghul.htm
Aghul,Anna Sorokina,"Гасанова, С.Н. (2016) Говорим по-агульски.  Махачкала: Издательство ДГУ",https://www.omniglot.com/writing/aghul.htm
Archi,Anna Sorokina,"Chumakina, M., Brown, D., Corbett, G., Quilliam, H. (2007). A dictionary of Archi: Archi-Russian-English (Online edition). University of Surrey. ",httpsː//www.omniglot.com/writing/archi.htm
Avar,Anna Sorokina,"Мадиева, Г. И. (1967) Аварский язык. Языки народов СССР, Т.4: Кавказские языки. Москва, 255-271.",http://www.omniglot.com/writing/avar.htm
Chechen,Anna Sorokina,"DoJtton, Z., Wagner, J. D. A grammar of Chechen.",https://www.omniglot.com/writing/chechen.htm
Dargwa,Anna Sorokina,"Абдуллаев, С.Н. (1954). Грамматика даргинского языка (фонетика и морфология). Махачкала: Институт истории, языка и литературы Дагестанского филиала АН СССР.",https://www.omniglot.com/writing/dargwa.htm
Lak,Anna Sorokina,"Schulze, W. (2007). The Lak Language — Лакку маз. A Quick Reference.",https://www.omniglot.com/writing/lak.htm
Lezgi,Anna Sorokina,"Haspelmath, M. (1993). A grammar of Lezgian. Berlin; New York: Mouton de Gruyter.",https://www.omniglot.com/writing/lezgi.htm
Tabasaran,Anna Sorokina,"Алексеев, М.Е., Шихалиева, С.Х. (2003). Табасаранский язык. Языки народов России. Москва: Academia.",httpsː//www.omniglot.com/writing/tabassaran.htm
